alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    7.000     0.000   1.079902   0.032394   0.008907   0.041301   0.000000   0.000000  -0.413415  -0.000000  -0.000000  141.0000     0.7800
    7.100     0.000   1.088185   0.032898   0.008958   0.041856   0.000000  -0.000000  -0.415534  -0.000000  -0.000000  141.0000     0.7776
    7.200     0.000   1.096412   0.033403   0.009010   0.042413   0.000000  -0.000000  -0.417626  -0.000000  -0.000000  141.0000     0.7753
    7.300     0.000   1.104547   0.033907   0.009061   0.042968   0.000000  -0.000000  -0.419678  -0.000000  -0.000000  141.0000     0.7730
    7.400     0.000   1.112340   0.034400   0.009114   0.043514   0.000000   0.000000  -0.421585  -0.000000  -0.000000  141.0000     0.7707
    7.500     0.000   1.119917   0.034884   0.009167   0.044051   0.000000  -0.000000  -0.423399  -0.000000  -0.000000  141.0000     0.7684
    7.600     0.000   1.127428   0.035366   0.009221   0.044587   0.000000  -0.000000  -0.425177  -0.000000  -0.000000  141.0000     0.7660
    7.700     0.000   1.134836   0.035852   0.009274   0.045126   0.000000   0.000000  -0.426905  -0.000000  -0.000000  141.0000     0.7637
    7.800     0.000   1.142153   0.036325   0.009328   0.045653   0.000000  -0.000000  -0.428591  -0.000000  -0.000000  141.0000     0.7614
    7.900     0.000   1.149234   0.036774   0.009391   0.046164   0.000000  -0.000000  -0.430194   0.000000   0.000000  141.0000     0.7591
    8.000     0.000   1.156265   0.037245   0.009448   0.046694   0.000000  -0.000000  -0.431772  -0.000000  -0.000000  141.0000     0.7568
    8.100     0.000   1.163301   0.037715   0.009505   0.047220   0.000000  -0.000000  -0.433336  -0.000000  -0.000000  141.0000     0.7545
    8.200     0.000   1.170292   0.038183   0.009563   0.047746   0.000000  -0.000000  -0.434879  -0.000000  -0.000000  141.0000     0.7522
    8.300     0.000   1.177190   0.038648   0.009621   0.048270   0.000000  -0.000000  -0.436374  -0.000000  -0.000000  141.0000     0.7499
    8.400     0.000   1.184045   0.039114   0.009679   0.048793   0.000000  -0.000000  -0.437850   0.000000   0.000000  141.0000     0.7477
    8.500     0.000   1.190912   0.039581   0.009738   0.049320   0.000000   0.000000  -0.439319  -0.000000  -0.000000  141.0000     0.7454
    8.600     0.000   1.196684   0.040039   0.009797   0.049836   0.000000  -0.000000  -0.440352  -0.000000  -0.000000  141.0000     0.7431
    8.700     0.000   1.201217   0.040407   0.009856   0.050264   0.000000   0.000000  -0.440773  -0.000000  -0.000000  141.0000     0.7405
    8.800     0.000   1.206410   0.040766   0.009919   0.050685   0.000000  -0.000000  -0.441434  -0.000000  -0.000000  141.0000     0.7379
    8.900     0.000   1.212944   0.041201   0.009985   0.051186   0.000000  -0.000000  -0.442737  -0.000000  -0.000000  141.0000     0.7356
    9.000     0.000   1.215776   0.041513   0.010044   0.051557   0.000000  -0.000000  -0.442045  -0.000000  -0.000000  141.0000     0.7324
    9.100     0.000   1.221856   0.041868   0.010116   0.051984   0.000000  -0.000000  -0.443081  -0.000000  -0.000000  141.0000     0.7300
    9.200     0.000   1.227504   0.042259   0.010191   0.052451   0.000000  -0.000000  -0.444010   0.000000  -0.000000  141.0000     0.7277
    9.300     0.000   1.232776   0.042656   0.010275   0.052931   0.000000  -0.000000  -0.444803  -0.000000  -0.000000  141.0000     0.7253
    9.400     0.000   1.238661   0.043061   0.010355   0.053416   0.000000  -0.000000  -0.445826   0.000000   0.000000  141.0000     0.7231
    9.500     0.000   1.240048   0.043240   0.010422   0.053662   0.000000  -0.000000  -0.443997  -0.000000  -0.000000  141.0000     0.7191
    9.600     0.000   1.245749   0.043583   0.010504   0.054087   0.000000  -0.000000  -0.444789  -0.000000  -0.000000  141.0000     0.7166
    9.700     0.000   1.251212   0.043964   0.010587   0.054552   0.000000  -0.000000  -0.445579   0.000000   0.000000  141.0000     0.7143
    9.800     0.000   1.256938   0.044366   0.010672   0.055038   0.000000  -0.000000  -0.446536  -0.000000  -0.000000  141.0000     0.7121
    9.900     0.000   1.262841   0.044786   0.010756   0.055542   0.000000   0.000000  -0.447551  -0.000000  -0.000000  141.0000     0.7100
   10.000     0.000   1.268762   0.045218   0.010842   0.056060   0.000000   0.000000  -0.448591  -0.000000  -0.000000  141.0000     0.7078
   10.100     0.000   1.274580   0.045677   0.010934   0.056611   0.000000  -0.000000  -0.449608  -0.000000   0.000000  141.0000     0.7058
