   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    4.600     0.000   0.835577   0.021332   0.008046   0.029378   0.000000  -0.000000  -0.336322   0.000000   0.000000  141.0000     0.8318
    4.700     0.000   0.844358   0.021788   0.008083   0.029872   0.000000  -0.000000  -0.338635   0.000000  -0.000000  141.0000     0.8285
    4.800     0.000   0.853146   0.022247   0.008121   0.030367   0.000000  -0.000000  -0.340945   0.000000   0.000000  141.0000     0.8253
    4.900     0.000   0.861920   0.022708   0.008158   0.030867   0.000000  -0.000000  -0.343248   0.000000   0.000000  141.0000     0.8221
    5.000     0.000   0.870744   0.023174   0.008193   0.031367   0.000000  -0.000000  -0.345568   0.000000  -0.000000  141.0000     0.8190
    5.100     0.000   0.879515   0.023646   0.008229   0.031875   0.000000  -0.000000  -0.347868   0.000000   0.000000  141.0000     0.8160
    5.200     0.000   0.888202   0.024117   0.008272   0.032389   0.000000  -0.000000  -0.350126  -0.000000  -0.000000  141.0000     0.8130
    5.300     0.000   0.896872   0.024593   0.008314   0.032907   0.000000  -0.000000  -0.352378   0.000000  -0.000000  141.0000     0.8100
    5.400     0.000   0.905530   0.025075   0.008354   0.033428   0.000000  -0.000000  -0.354625   0.000000  -0.000000  141.0000     0.8071
    5.500     0.000   0.914150   0.025559   0.008395   0.033954   0.000000  -0.000000  -0.356854   0.000000   0.000000  141.0000     0.8042
    5.600     0.000   0.922731   0.026046   0.008437   0.034483   0.000000  -0.000000  -0.359065   0.000000   0.000000  141.0000     0.8014
    5.700     0.000   0.931271   0.026535   0.008481   0.035016   0.000000   0.000000  -0.361255   0.000000   0.000000  141.0000     0.7986
    5.800     0.000   0.939768   0.027026   0.008527   0.035553   0.000000  -0.000000  -0.363425   0.000000  -0.000000  141.0000     0.7959
    5.900     0.000   0.948233   0.027522   0.008572   0.036094   0.000000  -0.000000  -0.365579   0.000000   0.000000  141.0000     0.7932
    6.000     0.000   0.956642   0.028018   0.008620   0.036638   0.000000  -0.000000  -0.367706   0.000000   0.000000  141.0000     0.7905
    6.100     0.000   0.964988   0.028514   0.008672   0.037185   0.000000  -0.000000  -0.369801  -0.000000  -0.000000  141.0000     0.7878
    6.200     0.000   0.973300   0.029013   0.008722   0.037735   0.000000  -0.000000  -0.371881  -0.000000  -0.000000  141.0000     0.7852
    6.300     0.000   0.980363   0.029485   0.008818   0.038303   0.000000  -0.000000  -0.373404  -0.000000  -0.000000  141.0000     0.7825
    6.400     0.000   0.987539   0.029944   0.008914   0.038858   0.000000  -0.000000  -0.374952   0.000000   0.000000  141.0000     0.7797
    6.500     0.000   0.995191   0.030417   0.009002   0.039419   0.000000  -0.000000  -0.376709   0.000000   0.000000  141.0000     0.7770
    6.600     0.000   1.002403   0.030862   0.009094   0.039956   0.000000  -0.000000  -0.378246   0.000000   0.000000  141.0000     0.7743
    6.700     0.000   1.010232   0.031351   0.009151   0.040502   0.000000  -0.000000  -0.380093   0.000000  -0.000000  141.0000     0.7718
    6.800     0.000   1.017952   0.031848   0.009207   0.041055   0.000000  -0.000000  -0.381896  -0.000000  -0.000000  141.0000     0.7693
    6.900     0.000   1.024859   0.032315   0.009292   0.041607   0.000000  -0.000000  -0.383321   0.000000   0.000000  141.0000     0.7666
    7.000     0.000   1.032447   0.032807   0.009348   0.042155   0.000000  -0.000000  -0.385054   0.000000  -0.000000  141.0000     0.7641
    7.100     0.000   1.039524   0.033293   0.009403   0.042696   0.000000  -0.000000  -0.386558   0.000000  -0.000000  141.0000     0.7616
    7.200     0.000   1.045683   0.033747   0.009456   0.043203   0.000000  -0.000000  -0.387623   0.000000  -0.000000  141.0000     0.7589
    7.300     0.000   1.051270   0.034177   0.009509   0.043686   0.000000  -0.000000  -0.388408   0.000000  -0.000000  141.0000     0.7561
    7.400     0.000   1.056308   0.034567   0.009582   0.044149   0.000000  -0.000000  -0.388918   0.000000   0.000000  141.0000     0.7532
    7.500     0.000   1.061073   0.034949   0.009645   0.044594   0.000000  -0.000000  -0.389291   0.000000  -0.000000  141.0000     0.7502
    7.600     0.000   1.065960   0.035339   0.009701   0.045040   0.000000  -0.000000  -0.389721   0.000000   0.000000  141.0000     0.7472
    7.700     0.000   1.071147   0.035742   0.009757   0.045499   0.000000  -0.000000  -0.390296  -0.000000  -0.000000  141.0000     0.7444
    7.800     0.000   1.076490   0.036149   0.009814   0.045963   0.000000  -0.000000  -0.390952   0.000000   0.000000  141.0000     0.7416
    7.900     0.000   1.081930   0.036557   0.009873   0.046430   0.000000  -0.000000  -0.391655  -0.000000  -0.000000  141.0000     0.7389
    8.000     0.000   1.087711   0.036978   0.009933   0.046911   0.000000  -0.000000  -0.392522  -0.000000  -0.000000  141.0000     0.7363
    8.100     0.000   1.093620   0.037411   0.009993   0.047404   0.000000  -0.000000  -0.393460  -0.000000  -0.000000  141.0000     0.7337
    8.200     0.000   1.099550   0.037850   0.010054   0.047904   0.000000  -0.000000  -0.394411   0.000000   0.000000  141.0000     0.7312
    8.300     0.000   1.105743   0.038307   0.010116   0.048423   0.000000  -0.000000  -0.395498   0.000000  -0.000000  141.0000     0.7287
    8.400     0.000   1.111440   0.038725   0.010194   0.048918   0.000000  -0.000000  -0.396342   0.000000   0.000000  141.0000     0.7262
    8.500     0.000   1.117119   0.039133   0.010270   0.049403   0.000000  -0.000000  -0.397167   0.000000   0.000000  141.0000     0.7237
    8.600     0.000   1.122882   0.039563   0.010340   0.049903   0.000000  -0.000000  -0.398047   0.000000   0.000000  141.0000     0.7213
    8.700     0.000   1.128599   0.039993   0.010411   0.050404   0.000000  -0.000000  -0.398908   0.000000   0.000000  141.0000     0.7188
    8.800     0.000   1.134258   0.040421   0.010485   0.050906   0.000000  -0.000000  -0.399745   0.000000   0.000000  141.0000     0.7164
    8.900     0.000   1.140140   0.040865   0.010563   0.051428   0.000000  -0.000000  -0.400699  -0.000000  -0.000000  141.0000     0.7141
    9.000     0.000   1.144539   0.041273   0.010659   0.051931   0.000000  -0.000000  -0.401024   0.000000   0.000000  141.0000     0.7116
    9.100     0.000   1.148812   0.041665   0.010760   0.052426   0.000000  -0.000000  -0.401288  -0.000000  -0.000000  141.0000     0.7090
    9.200     0.000   1.153372   0.042066   0.010861   0.052927   0.000000  -0.000000  -0.401680   0.000000  -0.000000  141.0000     0.7066
    9.300     0.000   1.158296   0.042478   0.010959   0.053437   0.000000  -0.000000  -0.402235   0.000000  -0.000000  141.0000     0.7042
    9.400     0.000   1.162830   0.042893   0.011061   0.053954   0.000000  -0.000000  -0.402638   0.000000   0.000000  141.0000     0.7018
    9.500     0.000   1.167952   0.043265   0.011159   0.054424   0.000000  -0.000000  -0.403236   0.000000   0.000000  141.0000     0.6994
    9.600     0.000   1.173143   0.043660   0.011255   0.054916   0.000000  -0.000000  -0.403887   0.000000   0.000000  141.0000     0.6971
    9.700     0.000   1.177236   0.044021   0.011363   0.055384   0.000000  -0.000000  -0.404061   0.000000   0.000000  141.0000     0.6946
    9.800     0.000   1.182116   0.044391   0.011468   0.055859   0.000000  -0.000000  -0.404571   0.000000   0.000000  141.0000     0.6922
    9.900     0.000   1.187264   0.044789   0.011568   0.056356   0.000000  -0.000000  -0.405222   0.000000   0.000000  141.0000     0.6900
   10.000     0.000   1.191613   0.045231   0.011682   0.056913   0.000000  -0.000000  -0.405623  -0.000000  -0.000000  141.0000     0.6878
   10.100     0.000   1.195740   0.045608   0.011812   0.057420   0.000000   0.000000  -0.405892   0.000000  -0.000000  141.0000     0.6855
   10.200     0.000   1.199501   0.045977   0.011952   0.057929   0.000000  -0.000000  -0.406016   0.000000  -0.000000  141.0000     0.6832
   10.300     0.000   1.203878   0.046348   0.012074   0.058422   0.000000  -0.000000  -0.406378   0.000000   0.000000  141.0000     0.6809
   10.400     0.000   1.207403   0.046682   0.012217   0.058899   0.000000  -0.000000  -0.406382   0.000000  -0.000000  141.0000     0.6786
